url,apodo
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=223073&id=1033313&id_superficie=1,ALEVÍN PLATA
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=223072&id=1033309&id_superficie=1,ALEVÍN ORO
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=216323&id=1033319&id_superficie=1,INFANTIL FEM
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=216321&id=1031595&id_superficie=1,INFANTIL MASC
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=216315&id=1031599&id_superficie=1,CADETE FEM
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=216224&id=1033297&id_superficie=1,CADETE B
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=216322&id=1031592&id_superficie=1,CADETE A
https://resultadosbalonmano.isquad.es/equipo.php?seleccion=0&id_superficie=1&id_equipo=220486&id=1033380,JUVENIL FEM
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=219521&id=1033295&id_superficie=1,JUVENIL B
https://resultadosbalonmano.isquad.es/equipo.php?seleccion=0&id_superficie=1&id_equipo=216223&id=1031589,JUVENIL A
https://resultadosbalonmano.isquad.es/equipo.php?seleccion=0&id_superficie=1&id_equipo=216324&id=1031603,SENIOR FEM
https://resultadosbalonmano.isquad.es/equipo.php?id_equipo=219271&id=1031586&id_superficie=1#,SENIOR MASC B
https://resultadosbalonmano.isquad.es/equipo.php?seleccion=0&id_superficie=1&id_equipo=219343&id=1031584,SENIOR MASC A